Date,City,District_Code,Division_Type,Frontage,Bedroom,Restroom,Floor,Ground_Area,Living_Area,Price
2024-11-06, TPHCM,DTANBINHHCM,Urban,0,5,6,5.0,102,510.0,16500
2024-11-06, TPHCM,D3HCM,Urban,1,3,4,5.0,66,330.0,24000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,5.0,52,260.0,6600
2024-11-06, TPHCM,DBINHTANHCM,Urban,1,4,4,4.0,72,288.0,9200
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,3,4,4.0,64,256.0,50000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,25,50.0,2980
2024-11-06, TPHCM,D6HCM,Urban,1,6,6,4.0,96,384.0,14300
2024-11-06, TPHCM,D1HCM,Urban,1,6,7,8.0,94,752.0,55000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,2,2.0,49,98.0,4350
2024-11-06, TPHCM,D1HCM,Urban,1,6,7,7.0,174,1218.0,128000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,4.0,67,268.0,7680
2024-11-06, TPHCM,D6HCM,Urban,1,9,7,7.0,69,483.0,14990
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,4,4.0,50,200.0,6480
2024-11-06, TPHCM,D1HCM,Urban,1,5,6,7.0,172,1204.0,68000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,32,64.0,3350
2024-11-06, TPHCM,D8HCM,Urban,1,15,6,6.0,112,672.0,22500
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,4.0,44,176.0,5680
2024-11-06, TPHCM,DBINHTANHCM,Urban,1,5,4,3.0,186,558.0,29000
2024-11-06, TPHCM,D3HCM,Urban,1,3,3,4.0,200,800.0,62000
2024-11-06, TPHCM,DTANPHUHCM,Urban,1,4,5,3.0,200,600.0,26000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,5,6,5.0,70,350.0,5800
2024-11-06, TPHCM,D3HCM,Urban,1,2,2,3.0,200,600.0,75000
2024-11-06, TPHCM,DTANBINHHCM,Urban,0,2,2,2.0,42,84.0,4280
2024-11-06, TPHCM,DBINHTANHCM,Urban,1,5,5,4.0,85,340.0,10800
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,5,6,3.0,200,600.0,36000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,4.0,64,256.0,6850
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,5,5,4.0,100,400.0,17500
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,4,4.0,45,180.0,5700
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,6,6,6.0,160,960.0,64000
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,9,8,4.0,100,400.0,11500
2024-11-06, TPHCM,D1HCM,Urban,1,1,2,12.0,120,1440.0,80000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,32,64.0,3990
2024-11-06, TPHCM,D6HCM,Urban,1,5,4,4.0,96,384.0,31000
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,4,4,4.0,110,440.0,18000
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,2,3,3.0,100,300.0,23000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,4,3.0,64,192.0,5200
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,6,6,4.0,55,220.0,5480
2024-11-06, TPHCM,DTANBINHHCM,Urban,0,7,7,4.0,114,456.0,13200
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,5,5,4.0,225,900.0,45000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,44,88.0,4750
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,2,3,3.0,160,480.0,68000
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,4.0,45,180.0,30000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,4,4.0,56,224.0,7450
